Column1,Column2,Column3
"POLYGON ((135.582515 34.604524, 135.580954 34.604408, 135.579444 34.604065, 135.578032 34.603505, 135.576764 34.602747, 135.575681 34.601815, 135.574818 34.600738, 135.574202 34.599552, 135.573854 34.598294, 135.573784 34.597006, 135.573994 34.595728, 135.574478 34.594501, 135.575221 34.593365, 135.576198 34.592357, 135.577378 34.591508, 135.578723 34.590847, 135.58019 34.590394, 135.581732 34.590163, 135.583298 34.590163, 135.58484 34.590394, 135.586307 34.590847, 135.587652 34.591508, 135.588832 34.592357, 135.589809 34.593365, 135.590552 34.594501, 135.591036 34.595728, 135.591246 34.597006, 135.591176 34.598294, 135.590828 34.599552, 135.590212 34.600738, 135.589349 34.601815, 135.588266 34.602747, 135.586998 34.603505, 135.585586 34.604065, 135.584076 34.604408, 135.582515 34.604524))",î™îˆìÏ 800m radius,
POINT (135.582141 34.600713 0.0),î™îˆésóßëÂê≥íÜäwçZ,377.8 m from î™îˆìÏ
POINT (135.49565 34.699482 0.0),êºî~ìc,
"POLYGON ((135.49565 34.706677, 135.494087 34.706561, 135.492575 34.706218, 135.491161 34.705658, 135.489892 34.7049, 135.488808 34.703968, 135.487944 34.702891, 135.487327 34.701705, 135.486978 34.700447, 135.486908 34.699159, 135.487119 34.697881, 135.487604 34.696654, 135.488347 34.695518, 135.489325 34.69451, 135.490507 34.693661, 135.491853 34.693, 135.493322 34.692547, 135.494866 34.692316, 135.496434 34.692316, 135.497978 34.692547, 135.499447 34.693, 135.500793 34.693661, 135.501975 34.69451, 135.502953 34.695518, 135.503696 34.696654, 135.504181 34.697881, 135.504392 34.699159, 135.504322 34.700447, 135.503973 34.701705, 135.503356 34.702891, 135.502492 34.703968, 135.501408 34.7049, 135.500139 34.705658, 135.498725 34.706218, 135.497213 34.706561, 135.49565 34.706677))",êºî~ìc 800m radius,
POINT (135.487861 34.701935 0.0),êØû çëç€çÇìôäwçZëÂç„äwèKÉZÉìÉ^Å[,762.5 m from êºî~ìc
POINT (135.496339 34.691496 0.0),îÏå„ã¥,
"POLYGON ((135.496339 34.698691, 135.494776 34.698575, 135.493264 34.698232, 135.491851 34.697672, 135.490582 34.696914, 135.489498 34.695982, 135.488633 34.694905, 135.488017 34.693719, 135.487668 34.692461, 135.487598 34.691173, 135.487808 34.689895, 135.488293 34.688668, 135.489037 34.687532, 135.490015 34.686524, 135.491196 34.685675, 135.492543 34.685014, 135.494011 34.684561, 135.495555 34.68433, 135.497123 34.68433, 135.498667 34.684561, 135.500135 34.685014, 135.501482 34.685675, 135.502663 34.686524, 135.503641 34.687532, 135.504385 34.688668, 135.50487 34.689895, 135.50508 34.691173, 135.50501 34.692461, 135.504661 34.693719, 135.504045 34.694905, 135.50318 34.695982, 135.502096 34.696914, 135.500827 34.697672, 135.499414 34.698232, 135.497902 34.698575, 135.496339 34.698691))",îÏå„ã¥ 800m radius,
POINT (135.496753 34.674038 0.0),élÉcã¥,
"POLYGON ((135.496753 34.681233, 135.495191 34.681117, 135.493679 34.680774, 135.492266 34.680214, 135.490997 34.679456, 135.489913 34.678524, 135.489049 34.677447, 135.488433 34.676261, 135.488084 34.675003, 135.488014 34.673715, 135.488224 34.672437, 135.488709 34.67121, 135.489452 34.670074, 135.49043 34.669066, 135.491611 34.668217, 135.492958 34.667556, 135.494426 34.667103, 135.495969 34.666872, 135.497537 34.666872, 135.49908 34.667103, 135.500548 34.667556, 135.501895 34.668217, 135.503076 34.669066, 135.504054 34.670074, 135.504797 34.67121, 135.505282 34.672437, 135.505492 34.673715, 135.505422 34.675003, 135.505073 34.676261, 135.504457 34.677447, 135.503593 34.678524, 135.502509 34.679456, 135.50124 34.680214, 135.499827 34.680774, 135.498315 34.681117, 135.496753 34.681233))",élÉcã¥ 800m radius,
POINT (135.489689 34.67049 0.0),ëÂç„ésóßñxç]íÜäwçZ,757.0 m from élÉcã¥
POINT (135.496576 34.644281 0.0),â‘âÄí¨,
"POLYGON ((135.496576 34.651476, 135.495014 34.65136, 135.493503 34.651017, 135.49209 34.650457, 135.490822 34.649699, 135.489738 34.648767, 135.488875 34.64769, 135.488259 34.646504, 135.48791 34.645246, 135.48784 34.643958, 135.48805 34.64268, 135.488535 34.641453, 135.489278 34.640317, 135.490255 34.639309, 135.491436 34.63846, 135.492782 34.637799, 135.49425 34.637346, 135.495792 34.637115, 135.49736 34.637115, 135.498902 34.637346, 135.50037 34.637799, 135.501716 34.63846, 135.502897 34.639309, 135.503874 34.640317, 135.504617 34.641453, 135.505102 34.64268, 135.505312 34.643958, 135.505242 34.645246, 135.504893 34.646504, 135.504277 34.64769, 135.503414 34.648767, 135.50233 34.649699, 135.501062 34.650457, 135.499649 34.651017, 135.498138 34.65136, 135.496576 34.651476))",â‘âÄí¨ 800m radius,
POINT (135.498594 34.648923 0.0),ëÂç„ésóßç°ã{íÜäwçZ,548.2 m from â‘âÄí¨
POINT (135.496604 34.649569 0.0),ëÂç„ï{óßç°ã{çHâ»çÇìôäwçZ,588.0 m from â‘âÄí¨
POINT (135.493669 34.638397 0.0),ëÂç„ésóßìVâ∫íÉâÆíÜäwçZ,706.3 m from â‘âÄí¨
POINT (135.493857 34.634417 0.0),ä›ó¢,
"POLYGON ((135.493857 34.641612, 135.492296 34.641496, 135.490784 34.641153, 135.489372 34.640593, 135.488104 34.639835, 135.48702 34.638903, 135.486157 34.637826, 135.485541 34.63664, 135.485192 34.635382, 135.485122 34.634094, 135.485332 34.632816, 135.485817 34.631589, 135.48656 34.630453, 135.487537 34.629445, 135.488718 34.628596, 135.490063 34.627935, 135.491531 34.627482, 135.493073 34.627251, 135.494641 34.627251, 135.496183 34.627482, 135.497651 34.627935, 135.498996 34.628596, 135.500177 34.629445, 135.501154 34.630453, 135.501897 34.631589, 135.502382 34.632816, 135.502592 34.634094, 135.502522 34.635382, 135.502173 34.63664, 135.501557 34.637826, 135.500694 34.638903, 135.49961 34.639835, 135.498342 34.640593, 135.49693 34.641153, 135.495418 34.641496, 135.493857 34.641612))",ä›ó¢ 800m radius,
POINT (135.489884 34.633451 0.0),ëÂç„ésóßê¨ìÏíÜäwçZ,379.0 m from ä›ó¢
POINT (135.493669 34.638397 0.0),ëÂç„ésóßìVâ∫íÉâÆíÜäwçZ,442.9 m from ä›ó¢
POINT (135.490403 34.623778 0.0),ã èo,
"POLYGON ((135.490403 34.630973, 135.488842 34.630857, 135.487331 34.630514, 135.485918 34.629954, 135.48465 34.629196, 135.483567 34.628264, 135.482704 34.627187, 135.482088 34.626001, 135.481739 34.624743, 135.481669 34.623455, 135.481879 34.622177, 135.482364 34.62095, 135.483107 34.619814, 135.484084 34.618806, 135.485264 34.617957, 135.48661 34.617296, 135.488077 34.616843, 135.489619 34.616612, 135.491187 34.616612, 135.492729 34.616843, 135.494196 34.617296, 135.495542 34.617957, 135.496722 34.618806, 135.497699 34.619814, 135.498442 34.62095, 135.498927 34.622177, 135.499137 34.623455, 135.499067 34.624743, 135.498718 34.626001, 135.498102 34.627187, 135.497239 34.628264, 135.496156 34.629196, 135.494888 34.629954, 135.493475 34.630514, 135.491964 34.630857, 135.490403 34.630973))",ã èo 800m radius,
POINT (135.487411 34.621798 0.0),ésóßèZãgëÊàÍíÜäwçZ,351.3 m from ã èo
POINT (135.488069 34.627091 0.0),ëÂç„ésóßã èoíÜäwçZ,425.8 m from ã èo
POINT (135.48811 34.627484 0.0),ésóßã èoíÜäwçZ,462.4 m from ã èo
POINT (135.495529 34.619093 0.0),ëÂç„ésóßèZãgíÜäwçZ,701.0 m from ã èo
POINT (135.479414 34.621309 0.0),ñkâ¡âÍâÆ,
"POLYGON ((135.479414 34.628504, 135.477853 34.628388, 135.476342 34.628045, 135.47493 34.627485, 135.473661 34.626727, 135.472578 34.625795, 135.471715 34.624718, 135.471099 34.623532, 135.47075 34.622274, 135.47068 34.620986, 135.470891 34.619708, 135.471375 34.618481, 135.472118 34.617345, 135.473095 34.616337, 135.474276 34.615488, 135.475621 34.614827, 135.477088 34.614374, 135.47863 34.614143, 135.480198 34.614143, 135.48174 34.614374, 135.483207 34.614827, 135.484552 34.615488, 135.485733 34.616337, 135.48671 34.617345, 135.487453 34.618481, 135.487937 34.619708, 135.488148 34.620986, 135.488078 34.622274, 135.487729 34.623532, 135.487113 34.624718, 135.48625 34.625795, 135.485167 34.626727, 135.483898 34.627485, 135.482486 34.628045, 135.480975 34.628388, 135.479414 34.628504))",ñkâ¡âÍâÆ 800m radius,
POINT (135.476785 34.619185 0.0),ésóßâ¡âÍâÆíÜäwçZ,337.1 m from ñkâ¡âÍâÆ
POINT (135.487411 34.621798 0.0),ésóßèZãgëÊàÍíÜäwçZ,733.8 m from ñkâ¡âÍâÆ
POINT (135.473099 34.608739 0.0),èZîVç]åˆâÄ,
"POLYGON ((135.473099 34.615934, 135.471538 34.615818, 135.470027 34.615475, 135.468615 34.614915, 135.467347 34.614157, 135.466264 34.613225, 135.465401 34.612148, 135.464785 34.610962, 135.464437 34.609704, 135.464366 34.608416, 135.464577 34.607138, 135.465061 34.605911, 135.465804 34.604775, 135.466781 34.603767, 135.467961 34.602918, 135.469307 34.602257, 135.470774 34.601804, 135.472315 34.601573, 135.473883 34.601573, 135.475424 34.601804, 135.476891 34.602257, 135.478237 34.602918, 135.479417 34.603767, 135.480394 34.604775, 135.481137 34.605911, 135.481621 34.607138, 135.481832 34.608416, 135.481761 34.609704, 135.481413 34.610962, 135.480797 34.612148, 135.479934 34.613225, 135.478851 34.614157, 135.477583 34.614915, 135.476171 34.615475, 135.47466 34.615818, 135.473099 34.615934))",èZîVç]åˆâÄ 800m radius,
POINT (135.4783 34.605883 0.0),ésóßèZîVç]íÜäwçZ,572.2 m from èZîVç]åˆâÄ
POINT (135.478401 34.613077 0.0),ésóßê^èZíÜäwçZ,684.2 m from èZîVç]åˆâÄ
POINT (135.5920729 34.6788949),í∑ìc,
"POLYGON ((135.5919874 34.6858426, 135.5904254 34.6857266, 135.5889135 34.6853836, 135.5874995 34.6848236, 135.5862306 34.6840656, 135.5851466 34.6831336, 135.5842826 34.6820566, 135.5836667 34.6808706, 135.5833177 34.6796126, 135.5832477 34.6783246, 135.5834577 34.6770466, 135.5839427 34.6758196, 135.5846866 34.6746836, 135.5856646 34.6736756, 135.5868455 34.6728266, 135.5881915 34.6721656, 135.5896604 34.6717126, 135.5912034 34.6714816, 135.5927713 34.6714816, 135.5943143 34.6717126, 135.5957832 34.6721656, 135.5971292 34.6728266, 135.5983101 34.6736756, 135.5992881 34.6746836, 135.6000321 34.6758196, 135.6005171 34.6770466, 135.600727 34.6783246, 135.6006571 34.6796126, 135.6003081 34.6808706, 135.5996921 34.6820566, 135.5988281 34.6831336, 135.5977442 34.6840656, 135.5964752 34.6848236, 135.5950613 34.6853836, 135.5935493 34.6857266, 135.5919874 34.6858426))",í∑ìc 800m radius,
POINT (135.571924 34.67838 0.0),çÇà‰ìc,
"POLYGON ((135.571924 34.685575, 135.570362 34.685459, 135.56885 34.685116, 135.567436 34.684556, 135.566168 34.683798, 135.565084 34.682866, 135.56422 34.681789, 135.563603 34.680603, 135.563254 34.679345, 135.563184 34.678057, 135.563395 34.676779, 135.56388 34.675552, 135.564623 34.674416, 135.565601 34.673408, 135.566782 34.672559, 135.568128 34.671898, 135.569597 34.671445, 135.57114 34.671214, 135.572708 34.671214, 135.574251 34.671445, 135.57572 34.671898, 135.577066 34.672559, 135.578247 34.673408, 135.579225 34.674416, 135.579968 34.675552, 135.580453 34.676779, 135.580664 34.678057, 135.580594 34.679345, 135.580245 34.680603, 135.579628 34.681789, 135.578764 34.682866, 135.57768 34.683798, 135.576412 34.684556, 135.574998 34.685116, 135.573486 34.685459, 135.571924 34.685575))",çÇà‰ìc 800m radius,
POINT (135.569262 34.677475 0.0),ésóßçÇà‰ìcíÜäwçZ,263.4 m from çÇà‰ìc
POINT (135.574434 34.673952 0.0),ésóßêVäÏëΩíÜäwçZ,543.2 m from çÇà‰ìc
POINT (135.574795 34.673124 0.0),ìåëÂç„ésóßêVäÏëΩíÜäwçZ,640.7 m from çÇà‰ìc
POINT (135.557453 34.679112 0.0),ê[ç]ã¥,
"POLYGON ((135.557453 34.686307, 135.555891 34.686191, 135.554379 34.685848, 135.552965 34.685288, 135.551696 34.68453, 135.550613 34.683598, 135.549749 34.682521, 135.549132 34.681335, 135.548783 34.680077, 135.548713 34.678789, 135.548924 34.677511, 135.549409 34.676284, 135.550152 34.675148, 135.55113 34.67414, 135.552311 34.673291, 135.553657 34.67263, 135.555126 34.672177, 135.556669 34.671946, 135.558237 34.671946, 135.55978 34.672177, 135.561249 34.67263, 135.562595 34.673291, 135.563776 34.67414, 135.564754 34.675148, 135.565497 34.676284, 135.565982 34.677511, 135.566193 34.678789, 135.566123 34.680077, 135.565774 34.681335, 135.565157 34.682521, 135.564293 34.683598, 135.56321 34.68453, 135.561941 34.685288, 135.560527 34.685848, 135.559015 34.686191, 135.557453 34.686307))",ê[ç]ã¥ 800m radius,
POINT (135.559324 34.67759 0.0),ésóßìåózíÜäwçZ,240.7 m from ê[ç]ã¥
POINT (135.55931 34.677326 0.0),ëÂç„ésóßìåózíÜäwçZ,261.3 m from ê[ç]ã¥
POINT (135.556232 34.682097 0.0),ésóßèÈìåíÜäwçZ,350.2 m from ê[ç]ã¥
POINT (135.561434 34.682064 0.0),ëÂç„ï{óßê¨èÈçÇìôäwçZ,490.2 m from ê[ç]ã¥
POINT (135.553345 34.674348 0.0),ésóßëäê∂íÜäwçZ,649.4 m from ê[ç]ã¥
POINT (135.545743 34.680656 0.0),óŒã¥,
"POLYGON ((135.545743 34.687851, 135.544181 34.687735, 135.542669 34.687392, 135.541255 34.686832, 135.539986 34.686074, 135.538902 34.685142, 135.538038 34.684065, 135.537422 34.682879, 135.537073 34.681621, 135.537003 34.680333, 135.537214 34.679055, 135.537698 34.677828, 135.538442 34.676692, 135.53942 34.675684, 135.540601 34.674835, 135.541947 34.674174, 135.543416 34.673721, 135.544959 34.67349, 135.546527 34.67349, 135.54807 34.673721, 135.549539 34.674174, 135.550885 34.674835, 135.552066 34.675684, 135.553044 34.676692, 135.553788 34.677828, 135.554272 34.679055, 135.554483 34.680333, 135.554413 34.681621, 135.554064 34.682879, 135.553448 34.684065, 135.552584 34.685142, 135.5515 34.686074, 135.550231 34.686832, 135.548817 34.687392, 135.547305 34.687735, 135.545743 34.687851))",óŒã¥ 800m radius,
POINT (135.546517 34.675707 0.0),ëÂç„ésóßñ{èØíÜäwçZ,554.8 m from óŒã¥
POINT (135.534005 34.680447 0.0),êXÉmã{,
"POLYGON ((135.534005 34.687642, 135.532443 34.687526, 135.530931 34.687183, 135.529517 34.686623, 135.528248 34.685865, 135.527164 34.684933, 135.5263 34.683856, 135.525684 34.68267, 135.525335 34.681412, 135.525265 34.680124, 135.525476 34.678846, 135.52596 34.677619, 135.526704 34.676483, 135.527682 34.675475, 135.528863 34.674626, 135.530209 34.673965, 135.531678 34.673512, 135.533221 34.673281, 135.534789 34.673281, 135.536332 34.673512, 135.537801 34.673965, 135.539147 34.674626, 135.540328 34.675475, 135.541306 34.676483, 135.54205 34.677619, 135.542534 34.678846, 135.542745 34.680124, 135.542675 34.681412, 135.542326 34.68267, 135.54171 34.683856, 135.540846 34.684933, 135.539762 34.685865, 135.538493 34.686623, 135.537079 34.687183, 135.535567 34.687526, 135.534005 34.687642))",êXÉmã{ 800m radius,
POINT (135.528658 34.678736 0.0),èÈêØäwâÄíÜäwçZ,524.7 m from êXÉmã{
POINT (135.528081 34.678496 0.0),èÈêØäwâÄçÇìôäwçZ,583.5 m from êXÉmã{
POINT (135.527511 34.677339 0.0),ëÂç„èóäwâ@íÜäwçZ,687.0 m from êXÉmã{
POINT (135.527192 34.677365 0.0),ëÂç„èóäwâ@çÇìôäwçZ,711.1 m from êXÉmã{
POINT (135.506459 34.682619 0.0),ç‰ãÿñ{í¨,
"POLYGON ((135.506459 34.689814, 135.504897 34.689698, 135.503385 34.689355, 135.501971 34.688795, 135.500702 34.688037, 135.499618 34.687105, 135.498754 34.686028, 135.498138 34.684842, 135.497789 34.683584, 135.497719 34.682296, 135.497929 34.681018, 135.498414 34.679791, 135.499158 34.678655, 135.500136 34.677647, 135.501317 34.676798, 135.502663 34.676137, 135.504132 34.675684, 135.505675 34.675453, 135.507243 34.675453, 135.508786 34.675684, 135.510255 34.676137, 135.511601 34.676798, 135.512782 34.677647, 135.51376 34.678655, 135.514504 34.679791, 135.514989 34.681018, 135.515199 34.682296, 135.515129 34.683584, 135.51478 34.684842, 135.514164 34.686028, 135.5133 34.687105, 135.512216 34.688037, 135.510947 34.688795, 135.509533 34.689355, 135.508021 34.689698, 135.506459 34.689814))",ç‰ãÿñ{í¨ 800m radius,
POINT (135.499666 34.683819 0.0),ëäà§íÜäwçZ,635.3 m from ç‰ãÿñ{í¨
POINT (135.499293 34.683804 0.0),ëäà§çÇìôäwçZ,668.3 m from ç‰ãÿñ{í¨
POINT (135.486251 34.681632 0.0),à¢îgç¿,
"POLYGON ((135.486251 34.688827, 135.484689 34.688711, 135.483177 34.688368, 135.481763 34.687808, 135.480494 34.68705, 135.47941 34.686118, 135.478546 34.685041, 135.47793 34.683855, 135.477581 34.682597, 135.477511 34.681309, 135.477721 34.680031, 135.478206 34.678804, 135.47895 34.677668, 135.479928 34.67666, 135.481109 34.675811, 135.482455 34.67515, 135.483924 34.674697, 135.485467 34.674466, 135.487035 34.674466, 135.488578 34.674697, 135.490047 34.67515, 135.491393 34.675811, 135.492574 34.67666, 135.493552 34.677668, 135.494296 34.678804, 135.494781 34.680031, 135.494991 34.681309, 135.494921 34.682597, 135.494572 34.683855, 135.493956 34.685041, 135.493092 34.686118, 135.492008 34.68705, 135.490739 34.687808, 135.489325 34.688368, 135.487813 34.688711, 135.486251 34.688827))",à¢îgç¿ 800m radius,
POINT (135.489196 34.686175 0.0),ëÂç„ésóßâ‘îTà‰íÜäwçZ,572.4 m from à¢îgç¿
POINT (135.473526 34.675314 0.0),ã„è,
"POLYGON ((135.473526 34.682509, 135.471964 34.682393, 135.470452 34.68205, 135.469039 34.68149, 135.46777 34.680732, 135.466686 34.6798, 135.465822 34.678723, 135.465206 34.677537, 135.464857 34.676279, 135.464786 34.674991, 135.464997 34.673713, 135.465482 34.672486, 135.466225 34.67135, 135.467203 34.670342, 135.468384 34.669493, 135.469731 34.668832, 135.471199 34.668379, 135.472742 34.668148, 135.47431 34.668148, 135.475853 34.668379, 135.477321 34.668832, 135.478668 34.669493, 135.479849 34.670342, 135.480827 34.67135, 135.48157 34.672486, 135.482055 34.673713, 135.482266 34.674991, 135.482195 34.676279, 135.481846 34.677537, 135.48123 34.678723, 135.480366 34.6798, 135.479282 34.680732, 135.478013 34.68149, 135.4766 34.68205, 135.475088 34.682393, 135.473526 34.682509))",ã„è 800m radius,
POINT (135.478401 34.671479 0.0),ëÂç„ésóßêºíÜäwçZ,616.9 m from ã„è
POINT (135.46183 34.670288 0.0),ïŸìVí¨,
"POLYGON ((135.46183 34.677483, 135.460268 34.677367, 135.458756 34.677024, 135.457343 34.676464, 135.456074 34.675706, 135.45499 34.674774, 135.454126 34.673697, 135.45351 34.672511, 135.453161 34.671253, 135.453091 34.669965, 135.453302 34.668687, 135.453786 34.66746, 135.45453 34.666324, 135.455507 34.665316, 135.456689 34.664467, 135.458035 34.663806, 135.459503 34.663353, 135.461046 34.663122, 135.462614 34.663122, 135.464157 34.663353, 135.465625 34.663806, 135.466971 34.664467, 135.468153 34.665316, 135.46913 34.666324, 135.469874 34.66746, 135.470358 34.668687, 135.470569 34.669965, 135.470499 34.671253, 135.47015 34.672511, 135.469534 34.673697, 135.46867 34.674774, 135.467586 34.675706, 135.466317 34.676464, 135.464904 34.677024, 135.463392 34.677367, 135.46183 34.677483))",ïŸìVí¨ 800m radius,
POINT (135.465748 34.671332 0.0),ëÂç„ï{óßç`çÇìôäwçZ,376.6 m from ïŸìVí¨
POINT (135.46218 34.6667 0.0),ëÂç„ésóßésâ™íÜäwçZ,400.3 m from ïŸìVí¨
POINT (135.465347 34.667142 0.0),ëÂç„ésóßésâ™ìåíÜäwçZ,475.2 m from ïŸìVí¨
POINT (135.466595 34.667506 0.0),ëÂç„ï{óßésâ™çÇìôäwçZ,534.4 m from ïŸìVí¨
POINT (135.448813 34.660863 0.0),í©í™ã¥,
"POLYGON ((135.448813 34.668058, 135.447251 34.667942, 135.445739 34.667599, 135.444326 34.667039, 135.443058 34.666281, 135.441974 34.665349, 135.44111 34.664272, 135.440494 34.663086, 135.440145 34.661828, 135.440075 34.66054, 135.440286 34.659262, 135.44077 34.658035, 135.441513 34.656899, 135.442491 34.655891, 135.443672 34.655042, 135.445018 34.654381, 135.446486 34.653928, 135.448029 34.653697, 135.449597 34.653697, 135.45114 34.653928, 135.452608 34.654381, 135.453954 34.655042, 135.455135 34.655891, 135.456113 34.656899, 135.456856 34.658035, 135.45734 34.659262, 135.457551 34.66054, 135.457481 34.661828, 135.457132 34.663086, 135.456516 34.664272, 135.455652 34.665349, 135.454568 34.666281, 135.4533 34.667039, 135.451887 34.667599, 135.450375 34.667942, 135.448813 34.668058))",í©í™ã¥ 800m radius,
POINT (135.448902 34.657328 0.0),ëÂç„ésóßç`íÜäwçZ,393.2 m from í©í™ã¥
POINT (135.457144 34.660509 0.0),ëÂç„ésóßç`ìÏíÜäwçZ,763.0 m from í©í™ã¥
POINT (135.434414 34.65393 0.0),ëÂç„ç`,
"POLYGON ((135.434414 34.661125, 135.432852 34.661009, 135.431341 34.660666, 135.429928 34.660106, 135.428659 34.659348, 135.427576 34.658416, 135.426712 34.657339, 135.426096 34.656153, 135.425747 34.654895, 135.425677 34.653607, 135.425887 34.652329, 135.426372 34.651102, 135.427115 34.649966, 135.428093 34.648958, 135.429274 34.648109, 135.430619 34.647448, 135.432087 34.646995, 135.43363 34.646764, 135.435198 34.646764, 135.436741 34.646995, 135.438209 34.647448, 135.439554 34.648109, 135.440735 34.648958, 135.441713 34.649966, 135.442456 34.651102, 135.442941 34.652329, 135.443151 34.653607, 135.443081 34.654895, 135.442732 34.656153, 135.442116 34.657339, 135.441252 34.658416, 135.440169 34.659348, 135.4389 34.660106, 135.437487 34.660666, 135.435976 34.661009, 135.434414 34.661125))",ëÂç„ç` 800m radius,
POINT (135.438391 34.652986 0.0),ëÂç„ésóßízç`íÜäwçZ,378.6 m from ëÂç„ç`
POINT (135.412215 34.642577 0.0),ÉRÉXÉÇÉXÉNÉGÉA,
"POLYGON ((135.412215 34.649772, 135.410653 34.649656, 135.409142 34.649313, 135.407729 34.648753, 135.406461 34.647995, 135.405378 34.647063, 135.404514 34.645986, 135.403898 34.6448, 135.403549 34.643542, 135.403479 34.642254, 135.403689 34.640976, 135.404174 34.639749, 135.404917 34.638613, 135.405895 34.637605, 135.407075 34.636756, 135.408421 34.636095, 135.409889 34.635642, 135.411431 34.635411, 135.412999 34.635411, 135.414541 34.635642, 135.416009 34.636095, 135.417355 34.636756, 135.418535 34.637605, 135.419513 34.638613, 135.420256 34.639749, 135.420741 34.640976, 135.420951 34.642254, 135.420881 34.643542, 135.420532 34.6448, 135.419916 34.645986, 135.419052 34.647063, 135.417969 34.647995, 135.416701 34.648753, 135.415288 34.649313, 135.413777 34.649656, 135.412215 34.649772))",ÉRÉXÉÇÉXÉNÉGÉA 800m radius,
POINT (135.407298 34.639214 0.0),ëÂç„ã‡çÑÉCÉìÉ^Å[ÉiÉVÉáÉiÉãè¨íÜçÇìôäwçZ,585.0 m from ÉRÉXÉÇÉXÉNÉGÉA
POINT (135.390524 34.652946 0.0),ñ≤èF,
"POLYGON ((135.390524 34.660141, 135.388962 34.660025, 135.387451 34.659682, 135.386038 34.659122, 135.384769 34.658364, 135.383686 34.657432, 135.382822 34.656355, 135.382206 34.655169, 135.381857 34.653911, 135.381787 34.652623, 135.381997 34.651345, 135.382482 34.650118, 135.383225 34.648982, 135.384203 34.647974, 135.385384 34.647125, 135.38673 34.646464, 135.388197 34.646011, 135.38974 34.64578, 135.391308 34.64578, 135.392851 34.646011, 135.394318 34.646464, 135.395664 34.647125, 135.396845 34.647974, 135.397823 34.648982, 135.398566 34.650118, 135.399051 34.651345, 135.399261 34.652623, 135.399191 34.653911, 135.398842 34.655169, 135.398226 34.656355, 135.397362 34.657432, 135.396279 34.658364, 135.39501 34.659122, 135.393597 34.659682, 135.392086 34.660025, 135.390524 34.660141))",ñ≤èF 800m radius,
POINT (135.474873 34.694371 0.0),ñÏìcç„ê_,
"POLYGON ((135.474873 34.701566, 135.47331 34.70145, 135.471798 34.701107, 135.470385 34.700547, 135.469115 34.699789, 135.468031 34.698857, 135.467167 34.69778, 135.466551 34.696594, 135.466202 34.695336, 135.466131 34.694048, 135.466342 34.69277, 135.466827 34.691543, 135.467571 34.690407, 135.468549 34.689399, 135.46973 34.68855, 135.471077 34.687889, 135.472545 34.687436, 135.474089 34.687205, 135.475657 34.687205, 135.477201 34.687436, 135.478669 34.687889, 135.480016 34.68855, 135.481197 34.689399, 135.482175 34.690407, 135.482919 34.691543, 135.483404 34.69277, 135.483615 34.694048, 135.483544 34.695336, 135.483195 34.696594, 135.482579 34.69778, 135.481715 34.698857, 135.480631 34.699789, 135.479361 34.700547, 135.477948 34.701107, 135.476436 34.70145, 135.474873 34.701566))",ñÏìcç„ê_ 800m radius,
POINT (135.469545 34.693704 0.0),ëÂç„ï{óßêºñÏìcçHâ»çÇìôäwçZ,492.7 m from ñÏìcç„ê_
POINT (135.476199 34.68955 0.0),ã êÏ,
"POLYGON ((135.476199 34.696745, 135.474637 34.696629, 135.473124 34.696286, 135.471711 34.695726, 135.470442 34.694968, 135.469358 34.694036, 135.468494 34.692959, 135.467877 34.691773, 135.467528 34.690515, 135.467458 34.689227, 135.467669 34.687949, 135.468154 34.686722, 135.468897 34.685586, 135.469875 34.684578, 135.471056 34.683729, 135.472403 34.683068, 135.473871 34.682615, 135.475415 34.682384, 135.476983 34.682384, 135.478527 34.682615, 135.479995 34.683068, 135.481342 34.683729, 135.482523 34.684578, 135.483501 34.685586, 135.484244 34.686722, 135.484729 34.687949, 135.48494 34.689227, 135.48487 34.690515, 135.484521 34.691773, 135.483904 34.692959, 135.48304 34.694036, 135.481956 34.694968, 135.480687 34.695726, 135.479274 34.696286, 135.477761 34.696629, 135.476199 34.696745))",ã êÏ 800m radius,
POINT (135.481786 34.68838 0.0),ëÂç„ésóßâ∫ïüìáíÜäwçZ,527.2 m from ã êÏ
POINT (135.468844 34.686932 0.0),ëÂç„ésóßñÏìcíÜäwçZ,732.8 m from ã êÏ
POINT (135.469545 34.693704 0.0),ëÂç„ï{óßêºñÏìcçHâ»çÇìôäwçZ,763.8 m from ã êÏ
POINT (135.486908 34.675707 0.0),êºí∑ñx,
"POLYGON ((135.486908 34.682902, 135.485346 34.682786, 135.483834 34.682443, 135.482421 34.681883, 135.481152 34.681125, 135.480068 34.680193, 135.479204 34.679116, 135.478588 34.67793, 135.478239 34.676672, 135.478168 34.675384, 135.478379 34.674106, 135.478864 34.672879, 135.479607 34.671743, 135.480585 34.670735, 135.481766 34.669886, 135.483112 34.669225, 135.484581 34.668772, 135.486124 34.668541, 135.487692 34.668541, 135.489235 34.668772, 135.490704 34.669225, 135.49205 34.669886, 135.493231 34.670735, 135.494209 34.671743, 135.494952 34.672879, 135.495437 34.674106, 135.495648 34.675384, 135.495577 34.676672, 135.495228 34.67793, 135.494612 34.679116, 135.493748 34.680193, 135.492664 34.681125, 135.491395 34.681883, 135.489982 34.682443, 135.48847 34.682786, 135.486908 34.682902))",êºí∑ñx 800m radius,
POINT (135.484335 34.674274 0.0),ëÂç„ésóßñxç]íÜäwçZ,284.1 m from êºí∑ñx
